100 300
1 20 33
1 20 27
1 23 15
1 32 61
1 40 49
1 40 94
1 66 96
1 73 81
1 87 91
1 99 58
1 100 20
2 8 68
2 12 10
2 15 14
2 84 24
2 87 86
3 13 67
3 65 51
3 92 43
4 14 95
4 39 77
4 74 56
4 79 31
5 9 96
5 25 32
5 54 84
5 79 91
6 46 59
6 55 45
6 63 85
6 80 21
6 81 74
6 87 64
7 14 67
7 16 89
7 26 63
7 60 51
7 67 18
7 68 51
7 83 97
8 61 89
8 63 59
8 73 88
8 85 23
9 17 93
9 19 63
9 30 26
9 33 19
9 48 98
9 67 6
9 77 15
9 90 58
10 46 15
10 47 35
10 57 92
10 61 95
11 33 41
11 41 61
11 49 21
11 82 14
11 96 9
11 100 40
12 25 89
12 25 73
12 38 87
12 48 6
12 66 73
12 76 84
12 83 96
12 86 97
12 91 82
12 99 76
13 60 23
13 75 15
13 81 88
13 92 6
14 18 74
14 24 65
14 63 97
14 89 6
15 25 17
15 79 49
15 94 19
15 99 19
16 59 53
16 97 36
17 27 76
17 43 57
17 89 45
18 36 28
18 56 5
18 65 13
18 86 51
19 21 99
19 44 67
19 60 93
19 88 22
19 89 74
19 92 64
20 57 78
20 61 77
20 64 69
20 72 42
20 78 37
21 68 12
22 25 48
22 32 98
22 70 18
22 75 67
22 97 62
22 98 54
23 31 54
23 37 47
23 73 5
23 93 21
24 59 47
24 62 38
24 74 64
24 96 2
25 36 22
25 54 50
25 78 12
25 92 57
25 96 26
25 97 63
26 30 79
26 42 73
26 54 66
26 66 94
26 79 72
26 84 49
27 35 54
27 52 2
27 68 70
28 45 89
28 60 49
28 62 38
28 77 21
28 89 86
29 61 46
29 95 67
30 35 14
30 61 6
30 63 90
30 72 94
31 50 46
32 97 78
33 67 42
34 52 68
34 53 95
34 82 4
34 84 18
35 43 17
35 45 6
35 76 92
36 43 79
36 49 100
36 58 88
36 65 31
36 69 4
36 72 29
36 84 57
36 92 41
37 38 9
37 41 87
37 45 1
37 49 87
37 53 89
37 55 83
37 93 46
38 61 74
38 65 3
38 87 84
39 51 96
39 88 32
40 44 8
40 57 5
40 76 2
40 80 50
41 83 98
41 97 83
41 99 51
42 64 26
42 97 57
43 46 93
43 50 84
43 54 82
43 67 35
43 72 31
44 47 71
44 49 92
44 93 21
45 67 61
45 72 9
46 54 44
46 65 7
46 79 69
47 53 61
48 76 1
48 77 48
48 83 37
49 72 37
49 76 65
49 76 96
49 82 87
50 71 96
50 85 36
50 89 6
50 92 44
50 94 75
51 79 28
52 68 12
52 82 66
52 91 87
53 89 20
53 98 95
54 65 15
54 86 9
54 100 67
55 60 55
55 71 55
55 78 44
55 83 53
55 92 11
55 94 97
56 98 56
57 100 11
58 79 64
58 85 83
58 94 21
59 64 7
59 77 82
60 85 80
60 85 66
61 91 30
61 100 44
62 72 55
62 72 40
62 80 52
62 93 97
62 94 72
63 79 59
63 80 15
63 100 14
64 68 81
64 69 14
64 83 88
65 71 9
65 76 9
65 85 67
65 85 41
65 88 38
66 77 98
66 91 13
66 94 64
66 97 46
67 71 37
67 76 85
67 87 24
67 96 94
68 96 17
69 82 36
69 91 42
69 100 57
70 79 62
70 95 75
70 98 77
71 77 65
71 98 44
72 74 26
72 87 79
73 95 79
74 89 52
74 100 60
74 100 100
75 82 72
75 88 77
77 88 70
77 99 99
78 81 51
78 89 33
78 98 61
79 85 12
80 87 24
82 84 25
82 88 33
82 93 17
82 95 27
82 97 12
83 85 19
83 90 37
85 94 61
86 90 27
88 91 61
89 93 38
89 97 78
91 97 30
92 95 1
93 100 37
96 99 56
100
65 9
94 38
77 19
41 25
95 17
46 19
55 34
73 50
64 38
29 27
31 39
49 37
12 39
63 6
86 47
84 18
24 19
35 18
47 13
19 39
87 37
34 10
82 39
91 16
80 38
28 12
98 8
13 26
26 19
83 13
50 6
48 17
89 21
92 20
36 17
37 43
57 24
71 18
96 37
70 49
27 28
32 43
15 15
68 47
16 28
21 34
45 28
93 4
8 21
56 22
22 47
9 45
14 38
7 22
61 47
75 50
38 35
69 28
23 31
60 25
66 33
62 50
90 15
74 44
39 46
67 23
40 10
30 42
3 14
88 38
17 4
100 30
54 35
18 16
43 29
5 12
42 12
59 30
51 36
97 7
4 15
72 26
52 15
11 22
10 20
44 44
76 5
33 31
58 32
20 48
25 39
99 10
81 18
85 50
78 27
79 17
1 3
53 42
2 28
6 3
