100 300
1 46 9
1 59 99
1 99 97
2 6 9
2 36 91
2 41 97
2 42 2
2 49 95
2 67 4
3 6 81
3 24 93
3 31 96
3 57 98
3 76 100
4 39 91
4 80 92
4 89 5
5 15 93
5 93 10
6 15 10
6 31 94
6 36 98
6 50 10
6 53 7
6 55 96
7 21 9
7 54 100
7 59 100
7 93 98
7 94 94
8 13 90
8 28 4
8 61 98
8 71 6
8 75 98
8 77 3
8 81 91
8 82 10
8 90 92
9 53 99
9 66 9
10 25 67
10 26 98
10 30 94
10 93 5
10 100 94
11 28 7
11 53 93
11 63 96
11 100 71
12 49 6
12 73 94
12 81 1
12 96 9
12 97 2
13 14 98
13 46 6
13 61 95
13 61 94
13 77 94
13 93 73
13 94 92
14 31 94
14 35 3
14 43 8
14 49 96
14 73 1
15 24 3
15 35 27
15 59 10
15 85 100
15 97 91
16 30 92
16 49 92
16 51 6
16 70 2
17 28 6
17 32 6
17 62 91
17 66 92
17 77 9
17 81 96
18 21 90
18 21 94
18 35 9
18 60 99
18 62 90
18 72 49
18 99 2
19 20 95
19 32 9
19 56 6
19 65 94
19 68 91
19 83 9
20 41 3
20 80 96
20 83 1
20 94 45
21 26 1
21 32 3
21 51 94
21 74 93
22 42 95
22 53 2
22 61 89
22 84 100
23 54 99
23 64 94
23 80 51
23 92 94
24 36 91
24 45 6
24 90 94
24 92 98
25 29 6
25 40 92
25 51 7
25 65 2
25 69 9
25 77 90
26 46 6
26 48 47
26 60 3
26 60 1
26 64 5
26 82 1
26 87 22
27 59 21
27 66 1
27 82 10
27 86 92
28 36 15
28 54 100
28 55 98
28 57 3
28 87 98
28 99 49
29 47 1
29 49 5
29 49 95
29 60 7
29 69 50
29 70 99
29 87 2
29 88 94
30 44 4
30 50 2
30 55 8
30 56 55
30 66 8
30 81 95
30 84 7
31 35 3
31 35 7
31 53 3
31 94 10
31 99 54
32 46 9
32 67 4
32 96 43
33 56 97
33 62 99
33 78 6
33 82 59
33 97 9
34 52 100
34 57 5
34 69 3
34 82 92
35 44 6
35 45 97
35 48 93
35 92 3
35 95 3
36 40 94
36 59 33
36 66 2
37 38 4
37 70 100
37 90 97
37 97 89
38 49 6
38 71 71
39 52 9
39 58 90
39 81 4
39 90 8
40 48 99
40 76 91
40 78 99
41 42 55
41 61 46
41 94 1
41 96 91
42 80 96
43 65 6
43 79 5
43 88 8
43 97 23
44 51 96
44 56 99
44 57 7
44 57 9
44 70 99
44 87 9
44 100 6
45 49 95
45 82 93
46 68 5
46 77 4
46 92 99
46 94 8
47 69 5
47 83 10
47 93 96
48 52 92
48 54 6
48 66 4
48 75 98
48 98 55
48 100 97
49 78 7
49 83 6
49 83 93
49 86 10
49 91 23
49 94 3
50 64 9
50 73 99
51 58 6
51 83 43
52 60 95
53 82 3
54 60 97
54 71 10
54 87 57
54 95 8
55 63 3
55 97 96
56 65 10
57 64 24
57 91 92
57 99 16
58 66 98
58 70 97
58 70 93
58 87 90
58 91 7
59 77 99
59 81 91
60 84 45
60 97 63
61 76 5
61 84 74
61 87 7
61 89 10
61 94 1
62 74 8
62 78 96
62 79 28
62 80 43
62 85 97
63 66 27
63 74 4
63 89 3
63 90 99
64 79 1
65 79 91
66 77 1
67 83 1
68 90 30
69 99 4
71 72 8
72 76 91
72 84 92
72 85 98
72 96 5
73 82 7
73 99 98
74 80 65
74 83 36
74 87 7
74 95 91
76 90 8
77 83 90
77 85 10
79 94 94
79 99 9
80 83 92
80 85 95
80 97 75
82 89 9
83 89 2
84 100 9
86 93 91
87 99 1
89 92 100
92 97 80
97 98 100
20
36 20
53 8
60 23
33 37
7 23
44 1
27 32
99 5
20 27
93 23
58 39
42 22
84 5
87 35
22 8
75 40
4 32
85 16
32 8
47 8
