100 300
1 22 100
1 33 93
1 37 25
1 50 74
1 70 89
1 100 10
2 12 7
2 29 96
2 29 32
2 42 26
2 78 79
2 79 29
2 93 40
3 20 61
3 33 95
3 64 100
3 72 11
3 78 51
3 88 55
3 91 33
3 93 11
4 11 46
4 18 79
4 61 21
4 72 91
5 28 79
5 36 54
5 55 97
5 61 7
5 80 43
5 83 94
6 37 50
6 61 19
6 62 38
6 80 39
6 80 34
6 89 1
6 96 24
7 18 79
7 33 99
7 89 39
8 39 42
8 50 7
8 59 16
8 61 10
8 68 44
8 91 70
9 11 81
9 18 7
9 39 7
9 84 22
9 89 5
10 27 53
10 38 33
10 39 35
10 47 71
10 48 86
10 54 6
10 76 97
11 23 93
11 24 38
11 52 43
11 81 51
11 83 85
11 100 56
12 21 4
12 73 87
13 35 19
13 40 70
13 79 98
13 81 50
14 44 10
14 49 11
14 50 88
14 67 57
14 81 71
15 30 97
15 42 50
15 48 12
15 68 17
15 72 33
15 87 82
16 24 32
16 29 10
16 30 79
16 37 14
16 59 71
16 62 55
16 70 33
16 80 53
16 95 13
17 66 10
17 70 76
17 95 8
18 48 66
18 48 5
18 49 66
18 52 66
18 53 76
18 67 100
18 75 10
18 85 50
18 88 76
19 24 78
19 28 67
19 82 71
20 26 79
20 43 19
20 63 13
20 87 1
21 57 45
21 98 39
22 27 92
22 46 45
22 56 67
22 69 74
22 75 29
22 77 94
22 82 64
23 47 69
24 26 74
24 46 28
24 55 57
24 72 94
24 88 68
24 92 99
25 32 59
25 37 19
25 41 12
25 70 3
25 80 60
25 88 46
26 33 99
26 41 100
26 96 95
26 98 87
27 43 30
27 54 17
27 58 80
27 69 36
27 73 4
28 37 58
28 81 36
28 91 74
29 41 30
29 59 24
29 78 43
29 80 32
29 84 91
29 84 60
29 88 84
30 60 3
30 87 14
30 96 84
31 67 82
31 85 97
31 87 2
31 87 94
32 42 74
32 86 1
33 55 5
33 74 98
33 80 52
33 91 98
34 55 53
34 80 73
34 98 10
35 36 18
35 37 99
35 68 87
36 45 98
36 46 71
36 47 67
36 81 33
36 83 96
36 91 83
36 94 5
37 50 79
37 58 90
37 61 9
37 78 97
38 43 32
38 45 68
38 49 43
38 52 98
38 68 86
38 82 18
39 58 92
39 80 68
39 82 32
39 100 2
40 44 30
40 64 63
40 70 91
40 86 75
40 94 100
41 43 44
41 57 70
41 68 24
41 83 26
42 56 55
42 77 75
43 63 71
43 65 90
43 79 35
44 45 11
44 54 99
44 80 4
44 85 1
44 88 60
44 95 31
44 98 11
45 64 49
45 64 29
45 71 71
45 76 100
45 84 72
45 91 85
45 98 89
46 59 98
46 67 36
46 77 30
46 97 93
47 53 53
48 62 6
48 67 4
49 88 32
50 79 51
50 82 72
50 99 53
51 58 34
52 66 11
52 86 84
52 100 85
53 65 95
53 68 91
53 95 63
54 65 71
54 79 34
54 80 92
54 95 52
55 66 45
55 70 3
55 87 84
56 62 14
56 65 67
56 72 20
56 76 51
57 87 5
57 95 9
58 66 23
58 93 85
59 62 7
59 78 18
59 86 5
60 65 33
60 65 70
60 94 8
61 78 98
61 98 34
61 99 22
62 86 85
64 95 97
65 71 13
66 74 54
67 71 83
67 75 9
67 92 85
67 93 75
68 91 99
68 96 67
69 70 49
69 72 1
70 78 30
71 79 92
72 76 38
72 88 47
73 86 18
74 77 23
74 95 90
76 83 79
76 89 98
76 96 57
79 85 50
79 87 81
79 95 58
81 91 100
81 91 44
82 90 26
82 96 94
84 91 63
84 96 97
85 92 50
85 94 17
85 98 90
86 92 78
89 91 30
94 98 86
95 98 5
97 99 31
20
13 11
23 50
66 6
61 49
17 36
60 41
3 47
82 8
77 38
65 35
44 45
18 25
41 47
75 31
45 17
4 37
32 9
35 45
64 28
57 1
