100 300
1 6 28
1 7 83
1 39 51
1 44 49
1 99 87
2 46 1
2 50 89
2 61 73
2 68 8
2 94 4
2 96 66
3 31 13
3 35 30
3 38 91
3 59 1
3 61 50
3 73 71
3 86 99
4 20 13
4 25 68
4 49 3
4 75 63
5 39 18
5 53 34
6 15 47
6 22 5
6 23 55
6 23 92
6 34 93
6 91 28
6 97 100
7 40 38
7 45 20
7 55 88
7 72 21
7 76 59
8 27 98
8 54 64
8 80 75
8 81 78
8 86 18
8 95 30
9 34 72
9 46 71
9 75 55
10 14 14
10 21 95
10 63 97
10 73 6
11 44 67
11 51 16
11 62 70
11 79 20
12 38 29
12 45 19
12 66 94
12 71 15
13 18 22
13 25 93
13 74 6
13 80 83
14 27 59
14 33 40
14 49 70
14 70 83
14 71 88
14 72 11
14 86 45
14 93 51
15 37 97
15 84 99
15 87 32
16 75 36
17 33 87
17 46 84
17 47 56
17 69 4
17 69 23
17 73 93
17 89 8
17 90 14
17 92 95
18 51 47
18 68 19
18 81 22
18 83 4
18 93 87
19 35 23
19 37 40
19 55 33
19 74 52
19 94 57
20 30 13
20 31 75
20 34 33
20 35 64
21 28 42
21 69 54
21 81 4
21 90 91
21 91 55
22 29 62
22 42 21
22 50 100
22 61 96
22 65 72
22 92 53
23 41 27
23 45 50
23 48 83
23 56 6
23 83 14
23 89 94
23 96 90
24 54 3
24 64 96
24 67 80
24 85 79
25 56 74
25 61 23
25 93 60
26 35 32
26 45 7
26 49 19
26 50 16
26 57 79
26 81 7
26 87 91
26 89 16
26 94 28
27 31 73
27 32 96
27 40 37
27 51 66
27 61 26
27 62 71
27 70 34
27 79 76
27 99 73
28 52 78
28 59 23
28 96 67
29 33 37
29 77 90
30 40 32
30 42 64
30 51 80
30 55 66
30 65 20
30 69 60
31 37 85
31 63 96
31 68 43
31 69 1
32 35 71
32 72 15
32 79 22
32 95 3
33 38 55
33 46 21
33 52 65
33 56 67
33 71 98
33 77 53
34 74 91
34 80 100
34 94 19
34 95 64
35 42 5
35 44 42
35 77 6
35 80 71
36 37 3
36 39 50
36 56 84
36 59 71
36 73 55
36 89 63
36 98 78
36 98 27
37 40 15
37 42 90
37 44 52
37 89 41
38 81 21
38 85 53
39 77 83
39 100 80
40 70 76
40 75 85
40 82 93
41 71 8
41 76 86
42 51 26
42 53 9
42 54 98
42 57 31
42 62 2
42 66 73
42 88 13
43 51 92
43 58 41
43 81 52
44 56 48
44 60 48
44 74 34
44 75 16
44 82 86
44 88 83
44 89 69
45 59 36
45 61 62
45 85 59
45 96 27
46 68 2
46 82 4
46 89 4
46 90 80
46 100 88
47 54 14
47 95 18
48 87 51
48 95 42
49 57 51
49 58 74
49 58 21
49 73 92
50 58 36
50 74 61
50 77 56
51 72 32
51 75 94
51 76 56
51 94 65
52 70 73
52 91 46
52 98 71
53 60 92
53 81 50
55 76 77
56 73 27
56 94 14
57 74 99
57 75 77
57 76 35
58 60 1
58 78 58
58 87 17
59 78 51
59 88 52
59 94 58
59 95 11
60 63 88
60 69 11
61 62 12
61 88 85
61 96 5
63 67 51
63 86 34
63 86 16
63 100 72
64 74 97
64 88 42
64 99 69
65 96 42
65 98 64
66 86 98
66 97 16
67 70 38
68 70 43
69 81 43
70 72 80
70 77 60
70 94 96
71 91 99
71 95 40
71 100 44
72 77 74
72 94 81
73 79 67
74 77 72
75 88 16
75 91 9
76 92 92
76 97 60
77 82 84
78 94 94
78 98 75
82 84 54
82 86 73
82 91 78
82 97 64
83 88 15
83 94 47
84 92 91
85 86 47
85 96 60
86 95 10
94 97 100
97 98 26
50
40 25
98 17
96 42
43 44
66 30
67 45
64 6
81 21
42 14
72 15
100 29
35 48
71 25
91 45
24 37
31 46
46 40
63 27
44 8
82 19
85 2
60 47
69 31
55 48
16 7
29 44
74 17
54 24
80 25
84 50
58 50
70 5
78 9
73 43
10 31
20 10
48 8
12 15
89 13
77 29
38 25
95 11
56 46
25 6
86 20
36 31
79 16
59 7
19 14
51 36
