100 300
1 13 2
1 18 96
1 30 67
1 40 100
1 44 87
1 57 29
1 72 54
1 84 11
1 86 2
2 5 32
2 17 39
3 5 100
3 7 69
3 18 5
3 38 32
3 42 24
3 44 71
3 81 49
3 98 4
4 10 66
4 11 57
4 17 68
4 41 19
4 47 45
4 72 28
4 75 43
4 83 28
4 94 75
5 15 93
5 26 29
5 27 64
5 49 88
5 71 2
5 79 1
5 93 33
5 100 39
6 8 5
6 20 58
6 21 4
6 30 64
6 36 83
6 44 86
6 54 40
6 77 11
6 80 58
7 10 100
7 25 47
7 56 46
7 74 33
7 89 36
8 14 81
8 32 62
8 35 9
8 41 24
8 47 31
8 50 99
8 60 47
8 71 20
8 77 51
8 87 23
8 92 24
9 34 69
9 67 25
9 83 77
9 85 17
9 98 57
10 85 20
11 36 95
11 77 66
11 94 25
12 39 97
12 47 100
12 55 51
12 67 47
13 16 21
13 21 24
13 72 76
13 73 6
13 83 67
13 86 32
14 24 4
14 43 1
14 58 64
14 76 70
14 98 92
15 32 26
15 81 35
15 86 54
15 90 48
16 22 5
16 67 83
17 31 14
17 62 54
17 68 97
17 77 32
18 22 82
18 74 79
18 87 17
19 34 47
19 51 43
19 52 21
19 53 38
19 59 100
19 65 97
19 96 51
20 26 84
20 35 96
20 52 99
20 69 97
20 88 74
21 43 29
21 48 42
21 57 70
21 62 16
21 67 8
21 91 12
22 53 14
22 73 23
23 30 18
23 51 79
23 71 9
23 75 14
23 79 6
23 95 4
24 26 16
24 93 74
24 100 58
25 33 39
25 46 31
25 52 47
26 31 55
26 32 20
26 41 91
26 45 60
26 54 94
26 73 76
26 73 72
26 79 40
27 54 63
27 61 100
27 86 83
27 95 39
28 31 88
28 38 29
28 44 35
28 49 75
28 76 39
28 78 46
28 81 60
28 86 26
28 87 38
28 98 98
28 99 75
28 99 44
29 41 33
29 50 5
29 59 81
29 63 3
29 66 41
29 79 47
29 85 79
29 93 66
30 45 78
30 48 44
30 64 32
30 89 24
31 42 5
31 57 52
31 71 37
31 74 45
31 85 30
31 91 74
32 33 75
32 39 26
32 39 91
32 42 28
32 57 60
32 68 96
32 70 53
32 93 82
33 44 39
33 85 5
33 91 36
34 55 69
34 59 8
35 39 71
35 43 46
36 41 62
36 42 66
36 43 99
36 67 72
36 94 37
37 46 80
37 75 38
37 84 23
37 85 44
37 98 58
38 45 33
38 59 82
38 95 30
39 41 20
39 43 21
39 76 12
39 81 78
39 89 39
40 57 29
40 94 55
41 54 90
41 58 12
41 65 28
41 90 95
42 58 14
42 71 10
42 96 74
43 52 41
43 56 96
43 60 22
44 60 44
44 76 32
44 82 3
44 86 90
44 98 27
45 81 71
46 84 10
46 90 94
46 90 88
47 52 44
47 64 53
48 58 17
48 65 1
48 70 81
49 51 37
49 55 67
49 87 98
49 99 3
49 100 12
50 52 35
50 77 31
51 96 5
52 59 64
52 67 21
52 83 34
53 56 90
53 57 81
53 93 76
54 67 70
54 81 59
54 85 35
54 100 100
55 94 71
55 95 90
56 90 43
56 96 25
56 96 74
57 72 78
57 96 63
57 100 47
58 68 40
59 99 99
60 64 73
61 99 54
61 100 29
63 92 84
65 78 46
65 82 26
65 100 20
66 73 34
66 75 96
66 83 96
67 86 26
68 84 88
68 99 35
69 97 15
69 98 71
69 98 36
70 92 31
70 97 27
71 74 34
71 90 79
71 91 37
72 92 39
72 99 76
73 87 9
74 77 58
76 91 98
77 88 7
78 83 7
80 82 42
80 87 94
80 91 74
80 99 67
81 83 20
81 84 49
82 87 30
82 97 94
84 97 100
86 87 33
88 93 60
90 100 67
92 96 11
20
64 11
83 18
15 37
27 41
57 32
80 20
75 25
53 21
85 47
40 23
46 32
72 39
88 4
66 20
8 11
96 20
60 36
91 8
45 26
7 1
