100 300
1 12 6
1 23 3
1 39 10
1 57 9
1 60 6
1 61 10
1 89 4
2 20 1
2 23 4
2 37 6
2 61 2
2 67 6
2 78 5
2 82 46
3 5 4
3 8 46
3 12 7
3 21 10
3 43 8
3 50 3
3 82 63
4 20 10
4 54 9
4 59 6
5 12 5
5 16 6
5 51 4
5 62 29
5 100 7
6 37 2
6 64 99
6 64 6
6 74 3
6 75 94
6 78 9
7 51 9
7 62 7
7 64 6
7 67 93
7 83 96
7 99 1
8 18 5
8 22 3
8 79 4
8 81 4
8 86 95
8 98 2
9 21 6
9 26 91
9 28 2
9 32 3
10 25 7
10 33 6
10 58 6
10 59 10
10 76 7
10 77 4
10 95 5
10 96 4
11 18 6
11 43 4
11 88 1
11 96 8
12 40 2
12 40 6
12 73 5
12 88 8
13 54 10
13 89 3
13 95 1
13 96 3
14 33 100
14 36 1
14 45 94
14 70 10
14 76 8
14 89 3
15 16 80
15 19 8
15 35 2
15 60 1
16 22 8
16 22 7
16 37 2
16 51 17
16 51 8
16 54 10
16 71 8
17 33 6
17 49 3
17 56 2
17 66 52
17 70 3
17 74 15
17 83 5
18 40 9
18 43 1
18 48 3
18 48 9
18 66 9
18 69 11
18 77 9
19 55 3
19 65 9
19 82 95
19 97 8
20 29 9
20 34 2
20 54 9
20 79 1
20 89 3
20 99 10
21 41 4
21 52 6
21 67 6
21 67 4
21 68 3
21 73 95
21 83 10
21 92 1
22 23 2
22 30 7
22 41 4
22 55 2
22 70 10
22 77 5
22 95 15
23 32 10
23 55 2
23 66 2
24 46 9
25 39 100
25 55 6
25 64 3
25 74 4
25 85 7
26 40 99
26 55 6
26 63 41
26 72 7
26 92 94
26 98 5
27 29 10
27 45 7
27 51 5
27 51 7
27 53 8
27 73 3
27 75 78
27 77 2
27 79 10
28 75 2
28 76 5
28 97 78
28 100 22
29 34 8
29 37 93
29 45 8
29 52 6
29 62 10
29 89 8
29 91 2
29 95 4
30 32 99
30 36 7
30 51 9
30 63 9
31 39 2
31 54 6
31 61 7
32 47 8
32 92 4
33 40 7
33 42 6
33 50 9
33 71 7
33 74 1
33 91 4
33 100 3
34 76 8
35 38 10
35 42 8
35 58 42
35 64 5
35 65 5
35 80 9
35 84 93
35 94 7
36 58 2
36 71 2
36 99 2
37 53 8
37 100 73
38 86 9
38 88 4
38 94 92
38 97 2
38 98 6
39 60 7
39 61 9
39 66 1
39 74 98
39 98 32
40 43 5
40 54 4
40 69 5
41 45 8
41 46 58
41 69 10
41 80 4
41 92 4
42 55 96
42 59 2
42 83 74
43 57 8
44 67 4
44 73 5
44 88 5
45 51 10
45 53 2
45 69 8
45 74 1
45 92 82
45 97 2
46 60 2
46 76 2
47 58 7
47 78 8
48 56 9
48 65 3
48 73 8
48 77 7
49 52 4
49 89 4
49 93 99
50 52 7
50 85 11
50 99 1
51 63 1
51 63 6
51 69 2
51 74 38
51 94 10
52 76 8
52 88 6
52 93 5
53 87 2
54 80 5
54 80 10
54 81 39
56 59 3
57 61 2
57 78 4
57 87 5
58 89 3
60 84 10
61 83 7
61 88 1
61 100 9
62 71 8
62 73 1
63 83 2
63 100 3
65 76 8
65 83 95
65 87 4
65 91 2
65 99 1
66 85 4
68 75 9
68 78 31
68 80 4
68 87 7
68 89 96
69 92 2
70 90 97
71 88 9
72 73 1
72 78 98
72 78 4
72 92 9
74 99 4
75 76 2
75 77 4
75 80 1
75 99 16
77 86 7
77 95 9
79 81 8
80 94 7
81 93 7
82 84 8
84 90 7
86 87 4
87 93 10
88 99 8
88 100 6
92 93 3
94 97 2
95 98 6
20
68 43
96 46
13 18
50 16
69 22
80 22
36 31
66 20
98 50
47 43
3 27
97 21
94 44
91 41
95 15
82 23
30 14
16 46
92 28
59 23
